"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"ZMB",2019,"DTPCV3","NOT_COLLECTED","609481"
"NER",2017,"DTPCV3","NOT_COLLECTED","983008"
"STP",2017,"MCV1","NOT_COLLECTED","4921"
"PRY",2018,"MCV1","GTEQ_24_MONTHS","3996"
"TKL",2017,"DTPCV3","NOT_COLLECTED",NA
"SVN",2019,"DTPCV3","NOT_COLLECTED",NA
"GMB",2019,"DTPCV3","NOT_COLLECTED","72325"
"SLB",2017,"MCV1","NOT_COLLECTED","15614"
"CIV",2017,"DTPCV3","NOT_COLLECTED","863182"
"BEN",2018,"DTPCV3","NOT_COLLECTED","386102"
"FJI",2018,"DTPCV3","NOT_COLLECTED","16716"
"CMR",2019,"MCV1","NOT_COLLECTED","632087"
"ARE",2017,"MCV1","NOT_COLLECTED","83478"
"DOM",2018,"DTPCV3","NOT_COLLECTED","179342"
"ARG",2018,"MCV1","GTEQ_24_MONTHS","122323"
"NIC",2019,"DTPCV3","NOT_COLLECTED","147002"
"BWA",2019,"MCV1","NOT_COLLECTED","50373"
"FJI",2017,"DTPCV3","NOT_COLLECTED","16201"
"BTN",2019,"DTPCV3","NOT_COLLECTED","10932"
"MSR",2018,"MCV1","GTEQ_24_MONTHS",NA
"PHL",2017,"DTPCV3","NOT_COLLECTED","1944857"
"TCA",2018,"DTPCV3","NOT_COLLECTED","561"
"LBY",2019,"MCV1","NOT_COLLECTED","234568"
"CUB",2019,"MCV1","GTEQ_24_MONTHS","110"
"SEN",2019,"DTPCV3","NOT_COLLECTED","560480"
"ZMB",2019,"MCV1","NOT_COLLECTED","647988"
"PRY",2018,"MCV1","NOT_COLLECTED","114089"
"SRB",2019,"MCV1","NOT_COLLECTED","56195"
"TON",2019,"MCV1","NOT_COLLECTED","2125"
"URY",2018,"DTPCV3","NOT_COLLECTED","36705"
"TON",2019,"DTPCV3","NOT_COLLECTED","2149"
